# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed May 15 05:53:33 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.17609 0.7097827196 2.3825042705    0.710  0.000  3.6627  3.892    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 7.459e-01 2.521e-01 3.585e-04 9.699e-05 8.799e-04 -1.000 2.000e-03 4.770 6.727 6.163 5.239 4.609 4.088 3.346 2.734 2.636
0.002 -0.88764 6.17609 0.7452380657 2.3979428592    0.745  0.048  3.6732  3.907    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-13      0.00 7.459e-01 2.521e-01 3.553e-04 9.691e-05 8.801e-04 -1.000 2.000e-03 4.650 6.418 5.941 5.058 4.464 3.966 3.258 2.675 2.583
0.002 -0.88764 6.17609 0.7545217872 2.4017106944    0.754  0.057  3.6745  3.909    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-13      0.00 7.459e-01 2.521e-01 3.553e-04 9.691e-05 8.801e-04 -1.000 2.000e-03 4.628 6.374 5.908 5.029 4.440 3.944 3.240 2.661 2.570
0.002 -0.88764 6.17609 0.7907827497 2.4154577041    0.790  0.094  3.6797  3.913    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.535 6.188 5.767 4.908 4.335 3.850 3.164 2.601 2.512
0.002 -0.88764 6.17609 0.7928571701 2.4162005293    0.793  0.096  3.6800  3.913    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.530 6.177 5.759 4.901 4.330 3.845 3.160 2.598 2.509
0.002 -0.88764 6.17609 0.8102633953 2.4222615512    0.810  0.110  3.6820  3.916    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.494 6.104 5.705 4.854 4.289 3.808 3.131 2.576 2.489
0.002 -0.88764 6.17609 0.8404761553 2.4320996799    0.840  0.138  3.6855  3.918    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.425 5.968 5.603 4.765 4.212 3.738 3.075 2.533 2.447
0.002 -0.88764 6.17609 0.8703829050 2.4410686606    0.870  0.163  3.6887  3.921    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.362 5.844 5.511 4.685 4.142 3.673 3.023 2.493 2.409
0.002 -0.88764 6.17609 0.8880952597 2.4460542408    0.887  0.180  3.6907  3.921    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.320 5.768 5.453 4.634 4.097 3.632 2.989 2.466 2.383
0.002 -0.88764 6.17609 0.9198735356 2.4544480609    0.919  0.204  3.6938  3.925    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.260 5.658 5.368 4.560 4.032 3.573 2.940 2.426 2.344
